17,1
16,27
15,1
4,7
3,92
2,1462
1,209
19,21
137,7
18,38
10,15
11,30
9,415
217,460
7,253
8,6
5,45
6,258
219,562
259,1022
144,1
62,18
63,2
65,3
64,1
196,4
78,5
80,72
79,31
194,103
81,94
67,126
68,145
69,1
70,510
71,4
72,5
73,27
74,6
75,21
76,2
77,0
195,1049
143,1
66,5
162,6
51,9
49,20
50,15
202,44
56,488
58,54
57,41
200,95
61,454
59,27
60,2
199,483
52,57
53,72
54,1
55,1
201,1197
276,2320
20,4
83,83
84,0
145,0
82,8
274,91
86,2
85,0
189,2
136,6
90,6
89,1
87,19
88,19
188,39
283,45
93,13
91,5
92,3
186,21
95,1
96,15
94,19
241,35
97,10
103,4
98,11
99,14
100,1
101,86
102,32
182,148
183,158
106,6
122,5
119,6
120,6
121,5
177,22
123,6
124,6
236,34
107,6
113,14
108,11
109,6
110,6
111,28
112,5
179,70
118,6
114,12
115,6
116,43
117,6
178,73
180,149
268,183
104,6
105,36
269,231
128,18
125,24
126,5
127,13
174,60
129,6
130,15
131,6
133,6
132,6
170,12
134,6
135,6
169,12
289,607
291,700
13,18
12,18
215,36
14,0
293,36
152,0
22,1
23,1
24,1
25,2
26,2
27,2
28,2
29,2
139,1
140,6
149,0
151,0
155,20
21,1
141,2
30,7
164,9
221,30
138,2
282,32
153,1
41,0
40,0
277,0
42,3
47,7
45,4
46,1
203,12
44,87
250,99
146,0
31,0
32,0
33,1
34,2
35,0
159,3
38,2
36,1
37,7
209,10
142,1
39,1
163,2
263,15
147,0
43,0
262,0
150,0
48,17
156,17
148,2
261,19
288,169
0,6117
