17,6
16,29
15,48
4,19
3,92
2,1462
1,209
19,25
137,10
18,38
10,17
11,32
9,415
217,464
7,253
8,7
5,45
6,258
219,563
259,1027
144,23
62,18
63,7
65,6
64,6
196,12
78,8
80,72
79,35
194,107
81,94
67,126
68,145
69,11
70,510
71,11
72,7
73,30
74,7
75,23
76,25
77,5
195,1109
143,13
66,22
162,35
51,11
49,21
50,16
202,48
56,488
58,54
57,41
200,95
61,454
59,27
60,8
199,489
52,57
53,77
54,24
55,9
201,1239
276,2468
20,34
83,83
84,5
145,21
82,8
274,117
86,8
85,5
189,13
136,7
90,7
89,7
87,21
88,21
188,49
283,56
93,32
91,19
92,19
186,70
95,7
96,19
94,21
241,47
97,15
103,11
98,15
99,19
100,20
101,97
102,40
182,202
183,217
106,7
122,7
119,7
120,7
121,7
177,28
123,7
124,7
236,42
107,7
113,16
108,12
109,7
110,7
111,31
112,7
179,80
118,7
114,13
115,7
116,47
117,7
178,81
180,168
268,210
104,7
105,40
269,264
128,20
125,26
126,7
127,14
174,67
129,7
130,19
131,7
133,7
132,7
170,14
134,7
135,7
169,14
289,789
291,919
13,18
12,18
215,36
14,5
293,41
152,5
22,18
23,18
24,20
25,22
26,21
27,21
28,21
29,21
139,12
140,37
149,9
151,5
155,230
21,34
141,20
30,52
164,72
221,336
138,20
282,356
153,50
41,8
40,14
277,22
42,19
47,17
45,17
46,11
203,45
44,87
250,132
146,7
31,11
32,6
33,10
34,14
35,11
159,59
38,18
36,8
37,23
209,49
142,20
39,24
163,44
263,152
147,10
43,6
262,16
150,6
48,45
156,51
148,194
261,245
288,992
0,7442
